,MOBILE BRAND,ONEPLUS CAMERA,EXCLUSIVE PRICE
0,"OnePlus Nord CE 2 Lite 5G (Blue Tide, 128 GB)","<li class=""rgWa7D"">64MP Rear Camera</li>","<div class=""_30jeq3 _1_WHN1"">₹19,999</div>"
1,"OnePlus Nord CE 2 Lite 5G (Black Dusk, 128 GB)","<li class=""rgWa7D"">64MP Rear Camera</li>","<div class=""_30jeq3 _1_WHN1"">₹19,686</div>"
2,"OnePlus Nord CE 2 Lite 5G (Black Dusk, 128 GB)","<li class=""rgWa7D"">64MP Rear Camera</li>","<div class=""_30jeq3 _1_WHN1"">₹21,926</div>"
3,"OnePlus Nord 2 5G (Gray Sierra, 128 GB)","<li class=""rgWa7D"">50MP Rear Camera</li>","<div class=""_30jeq3 _1_WHN1"">₹29,765</div>"
4,"OnePlus Nord 2 5G (PAC-MAN, 256 GB)","<li class=""rgWa7D"">50MP Rear Camera</li>","<div class=""_30jeq3 _1_WHN1"">₹37,899</div>"
5,"OnePlus 10R 5G (Sierra Black, 128 GB)","<li class=""rgWa7D"">50MP Rear Camera</li>","<div class=""_30jeq3 _1_WHN1"">₹38,917</div>"
6,"OnePlus 9RT 5G (Hacker Black, 256 GB)","<li class=""rgWa7D"">50MP Rear Camera</li>","<div class=""_30jeq3 _1_WHN1"">₹44,999</div>"
7,"OnePlus 10R 5G (Forest Green, 256 GB)","<li class=""rgWa7D"">50MP Rear Camera</li>","<div class=""_30jeq3 _1_WHN1"">₹42,999</div>"
8,"OnePlus 9RT 5G (Nano Silver, 128 GB)","<li class=""rgWa7D"">50MP Rear Camera</li>","<div class=""_30jeq3 _1_WHN1"">₹42,999</div>"
9,"OnePlus Nord 2 5G (Blue Haze, 128 GB)","<li class=""rgWa7D"">50MP Rear Camera</li>","<div class=""_30jeq3 _1_WHN1"">₹29,125</div>"
10,"OnePlus 9RT 5G (Nano Silver, 256 GB)","<li class=""rgWa7D"">50MP Rear Camera</li>","<div class=""_30jeq3 _1_WHN1"">₹44,499</div>"
11,"OnePlus Nord 2 5G (Green Wood, 256 GB)","<li class=""rgWa7D"">50MP Rear Camera</li>","<div class=""_30jeq3 _1_WHN1"">₹34,999</div>"
12,"OnePlus Nord CE 2 Lite 5G (Blue Tide, 128 GB)","<li class=""rgWa7D"">64MP Rear Camera</li>","<div class=""_30jeq3 _1_WHN1"">₹21,979</div>"
13,"OnePlus 9 Pro 5G (Morning Mist, 128 GB)","<li class=""rgWa7D"">48MP Rear Camera</li>","<div class=""_30jeq3 _1_WHN1"">₹49,999</div>"
14,"OnePlus 10R 5G (Forest Green, 128 GB)","<li class=""rgWa7D"">50MP Rear Camera</li>","<div class=""_30jeq3 _1_WHN1"">₹38,920</div>"
15,"OnePlus 9 5G (Winter Mist, 256 GB)","<li class=""rgWa7D"">48MP Rear Camera</li>","<div class=""_30jeq3 _1_WHN1"">₹42,190</div>"
16,"OnePlus 9 5G (Astral Black, 256 GB)","<li class=""rgWa7D"">48MP Rear Camera</li>","<div class=""_30jeq3 _1_WHN1"">₹42,999</div>"
17,"OnePlus 9 5G (Arctic Sky, 128 GB)","<li class=""rgWa7D"">48MP Rear Camera</li>","<div class=""_30jeq3 _1_WHN1"">₹40,990</div>"
18,"OnePlus 8T 5G (Aquamarine Green, 128 GB)","<li class=""rgWa7D"">48MP Rear Camera</li>","<div class=""_30jeq3 _1_WHN1"">₹39,890</div>"
19,"OnePlus 8T 5G (Lunar Silver, 128 GB)","<li class=""rgWa7D"">48MP Rear Camera</li>","<div class=""_30jeq3 _1_WHN1"">₹34,890</div>"
20,"OnePlus 9 Pro 5G (Pine Green, 256 GB)","<li class=""rgWa7D"">48MP Rear Camera</li>","<div class=""_30jeq3 _1_WHN1"">₹54,450</div>"
21,"OnePlus 9 Pro 5G (Stellar Black, 128 GB)","<li class=""rgWa7D"">48MP Rear Camera</li>","<div class=""_30jeq3 _1_WHN1"">₹49,990</div>"
22,"OnePlus 9RT 5G (Hacker Black, 128 GB)","<li class=""rgWa7D"">50MP Rear Camera</li>","<div class=""_30jeq3 _1_WHN1"">₹40,290</div>"
23,"OnePlus 10 Pro 5G (Volcanic Black, 128 GB)","<li class=""rgWa7D"">48MP Rear Camera</li>","<div class=""_30jeq3 _1_WHN1"">₹66,950</div>"
